column,dtype,unique_count,unique_ratio
TransactionID,int64,590540,1.0
TransactionDT,int64,573349,0.9708893555051309
id_02,float64,115655,0.1958461746875741
V307,float64,37367,0.06327598469197683
V127,float64,24414,0.04134182273851052
V308,float64,23064,0.03905577945609104
TransactionAmt,float64,20902,0.035394723473431096
V310,float64,19136,0.03240424018694754
V306,float64,16210,0.027449453042977613
V317,float64,15184,0.02571206014833881
V203,float64,14951,0.02531750601144715
V128,float64,14507,0.0245656517763403
card1,int64,13553,0.0229501811900972
V264,float64,13358,0.022619974938192164
V204,float64,12858,0.02177329224099976
D8,float64,12353,0.02091814271683544
V130,float64,12332,0.02088258204355336
V318,float64,12309,0.02084363463948251
V265,float64,11757,0.0199088969417821
V314,float64,11377,0.019265418091915874
V202,float64,10970,0.01857621837640126
V263,float64,10422,0.017648254140278388
V126,float64,10299,0.01743997019676906
V133,float64,9949,0.016847292308734378
V316,float64,9814,0.01661868798049243
V160,float64,9621,0.016291868459376163
V212,float64,8868,0.01501676431740441
V213,float64,8317,0.014083719985098385
V274,float64,8315,0.014080333254309615
V134,float64,8178,0.013848342195278897
V312,float64,8068,0.013662072001896569
V275,float64,7776,0.013167609306736208
V211,float64,7624,0.012910217766789718
V273,float64,7177,0.012153283435499712
V315,float64,6973,0.011807836895045214
V159,float64,6663,0.011282893622785924
V132,float64,6560,0.01110847698716429
V320,float64,6439,0.01090357977444373
V321,float64,5560,0.00941511159277949
V313,float64,5529,0.009362617265553562
V136,float64,4852,0.008216208893555052
V319,float64,4799,0.008126460527652656
V131,float64,4444,0.007525315812646053
V137,float64,4252,0.007200189656924171
V309,float64,4236,0.007173095810614014
V135,float64,3724,0.006306092728688996
V267,float64,3616,0.006123209266095438
V209,float64,3451,0.005843803976021946
V207,float64,3246,0.005496664070173062
V311,float64,3098,0.0052460459918041115
V210,float64,2836,0.004802384258475294
V271,float64,2787,0.004719409354150439
V268,float64,2756,0.00466691502692451
V215,float64,2747,0.004651674738375047
dist1,float64,2651,0.004489111660514106
V208,float64,2552,0.00432146848647001
V165,float64,2547,0.004313001659498087
V277,float64,2540,0.004301148101737393
V216,float64,2532,0.004287601178582314
V272,float64,2507,0.004245267043722694
V332,float64,2453,0.004153825312425915
V278,float64,2398,0.004060690215734751
V270,float64,2340,0.003962475022860433
V214,float64,2282,0.0038642598299861142
V276,float64,2263,0.003832085887492803
V205,float64,2240,0.003793138483421953
V266,float64,2178,0.003688149828970095
V150,float64,1996,0.0033799573271920615
V164,float64,1978,0.0033494767500931353
V333,float64,1971,0.0033376231923324417
V129,float64,1968,0.003332543096149287
DeviceInfo,str,1786,0.0030243505943712535
V206,float64,1780,0.0030141904020049444
V331,float64,1758,0.002976936363328479
dist2,float64,1751,0.0029650828055677856
C1,float64,1657,0.0028059064584956142
C13,float64,1597,0.002704304534832526
C11,float64,1476,0.0024994073221119655
V323,float64,1411,0.0023893385714769534
V96,float64,1410,0.0023876452060825684
C6,float64,1328,0.0022487892437430147
V294,float64,1286,0.0021776678971788532
V102,float64,1285,0.0021759745317844682
C4,float64,1260,0.0021336403969248485
C8,float64,1253,0.002121786839164155
V178,float64,1236,0.0020929996274596132
C10,float64,1231,0.002084532800487689
C2,float64,1216,0.002059132319571917
C12,float64,1199,0.0020303451078673754
C14,float64,1108,0.0018762488569783588
C7,float64,1103,0.0018677820300064347
V166,float64,987,0.0016713516442577979
V324,float64,976,0.001652724624919565
V97,float64,976,0.001652724624919565
V280,float64,975,0.0016510312595251803
V168,float64,965,0.0016340976055813324
V103,float64,928,0.0015714430859890948
V295,float64,928,0.0015714430859890948
V179,float64,921,0.001559589528228401
V279,float64,881,0.0014918549124530091
V322,float64,881,0.0014918549124530091
V95,float64,881,0.0014918549124530091
V167,float64,873,0.0014783079892979308
V101,float64,870,0.0014732278931147763
V143,float64,870,0.0014732278931147763
V293,float64,870,0.0014732278931147763
V177,float64,862,0.001459680969959698
D15,float64,859,0.0014546008737765434
D6,float64,829,0.0014037999119449994
D10,float64,818,0.0013851728926067668
D4,float64,808,0.0013682392386629187
D14,float64,802,0.0013580790462966099
D5,float64,688,0.0011650353913367426
D11,float64,676,0.001144715006604125
V335,float64,672,0.0011379415450265859
D3,float64,649,0.0010989941409557354
D1,float64,641,0.001085447217800657
D2,float64,641,0.001085447217800657
D12,float64,635,0.0010752870254343483
D7,float64,597,0.001010939140447726
D13,float64,577,0.0009770718325600297
id_19,float64,522,0.0008839367358688658
card2,float64,500,0.0008466826971924001
id_21,float64,490,0.0008297490432485522
V218,float64,401,0.0006790395231483049
id_20,float64,394,0.0006671859653876114
V338,float64,380,0.0006434788498662241
V219,float64,379,0.0006417854844718394
id_11,float64,365,0.0006180783689504521
V336,float64,356,0.0006028380804009889
id_25,float64,341,0.0005774375994852169
V232,float64,338,0.0005723575033020625
V339,float64,334,0.0005655840417245233
V233,float64,333,0.0005638906763301385
addr1,float64,332,0.0005621973109357537
C5,float64,319,0.0005401835608087513
V217,float64,304,0.0005147830798929793
V231,float64,294,0.0004978494259491313
V145,float64,260,0.0004402750025400481
id_33,str,260,0.0004402750025400481
V337,float64,254,0.0004301148101737393
V291,float64,219,0.00037084702137027127
V187,float64,215,0.0003640735597927321
C9,float64,205,0.0003471399058488841
V162,float64,185,0.00031327259796118807
V292,float64,173,0.00029295221322857046
V269,float64,151,0.00025569817455210487
V334,float64,143,0.00024215125139702645
id_31,str,130,0.00022013750127002405
V234,float64,122,0.00020659057811494563
card5,float64,119,0.00020151048193179125
card3,float64,114,0.00019304365495986724
V163,float64,106,0.00017949673180478885
id_17,float64,104,0.00017611000101601924
id_06,float64,101,0.00017102990483286484
V105,float64,100,0.00016933653943848004
V329,float64,100,0.00016933653943848004
V285,float64,96,0.00016256307786094082
id_26,float64,95,0.00016086971246655603
V296,float64,94,0.00015917634707217124
V298,float64,94,0.00015917634707217124
id_08,float64,94,0.00015917634707217124
id_05,float64,93,0.00015748298167778644
V229,float64,91,0.00015409625088901683
V99,float64,89,0.00015070952010024722
V180,float64,84,0.00014224269312832324
V182,float64,84,0.00014224269312832324
id_07,float64,84,0.00014224269312832324
V226,float64,81,0.00013716259694516883
V161,float64,79,0.00013377586615639922
V224,float64,79,0.00013377586615639922
V221,float64,77,0.00013038913536762964
id_01,float64,77,0.00013038913536762964
V222,float64,76,0.00012869576997324482
id_30,str,75,0.00012700240457886003
addr2,float64,74,0.00012530903918447523
V259,float64,68,0.00011514884681816643
V258,float64,67,0.00011345548142378162
V230,float64,66,0.00011176211602939683
V253,float64,66,0.00011176211602939683
V144,float64,63,0.00010668201984624243
V171,float64,62,0.00010498865445185762
V283,float64,62,0.00010498865445185762
id_10,float64,62,0.00010498865445185762
R_emaildomain,str,60,0.00010160192366308802
P_emaildomain,str,59,9.990855826870322e-05
V245,float64,58,9.821519287431843e-05
V290,float64,58,9.821519287431843e-05
V106,float64,56,9.482846208554881e-05
V151,float64,56,9.482846208554881e-05
V201,float64,56,9.482846208554881e-05
V330,float64,56,9.482846208554881e-05
V228,float64,55,9.313509669116402e-05
V37,float64,55,9.313509669116402e-05
V38,float64,55,9.313509669116402e-05
id_13,float64,54,9.144173129677922e-05
V56,float64,52,8.805500050800962e-05
V227,float64,50,8.466826971924002e-05
V299,float64,50,8.466826971924002e-05
V170,float64,49,8.297490432485522e-05
V176,float64,49,8.297490432485522e-05
V257,float64,49,8.297490432485522e-05
V44,float64,49,8.297490432485522e-05
V45,float64,49,8.297490432485522e-05
V256,float64,48,8.128153893047041e-05
V199,float64,46,7.789480814170081e-05
V200,float64,46,7.789480814170081e-05
V236,float64,46,7.789480814170081e-05
V246,float64,46,7.789480814170081e-05
V255,float64,46,7.789480814170081e-05
id_09,float64,46,7.789480814170081e-05
V192,float64,45,7.620144274731602e-05
V254,float64,45,7.620144274731602e-05
V326,float64,45,7.620144274731602e-05
V190,float64,43,7.281471195854641e-05
V243,float64,43,7.281471195854641e-05
V183,float64,42,7.112134656416162e-05
V261,float64,41,6.942798116977681e-05
V237,float64,40,6.773461577539202e-05
V152,float64,39,6.604125038100721e-05
V186,float64,39,6.604125038100721e-05
V196,float64,39,6.604125038100721e-05
V193,float64,38,6.434788498662241e-05
V225,float64,35,5.926778880346801e-05
V139,float64,34,5.7574423409083214e-05
V140,float64,34,5.7574423409083214e-05
V282,float64,33,5.5881058014698415e-05
V172,float64,32,5.418769262031361e-05
V185,float64,32,5.418769262031361e-05
V287,float64,32,5.418769262031361e-05
V78,float64,32,5.418769262031361e-05
V188,float64,31,5.249432722592881e-05
V189,float64,31,5.249432722592881e-05
V77,float64,31,5.249432722592881e-05
V86,float64,31,5.249432722592881e-05
V87,float64,31,5.249432722592881e-05
V100,float64,29,4.910759643715921e-05
C3,float64,27,4.572086564838961e-05
V147,float64,27,4.572086564838961e-05
V220,float64,26,4.402750025400481e-05
V146,float64,25,4.233413485962001e-05
V155,float64,25,4.233413485962001e-05
V156,float64,25,4.233413485962001e-05
V157,float64,25,4.233413485962001e-05
V158,float64,25,4.233413485962001e-05
V181,float64,25,4.233413485962001e-05
V252,float64,25,4.233413485962001e-05
id_14,float64,25,4.233413485962001e-05
id_22,float64,25,4.233413485962001e-05
D9,float64,24,4.0640769465235205e-05
V235,float64,24,4.0640769465235205e-05
V238,float64,24,4.0640769465235205e-05
V239,float64,24,4.0640769465235205e-05
id_03,float64,24,4.0640769465235205e-05
V138,float64,23,3.8947404070850406e-05
V244,float64,23,3.8947404070850406e-05
V248,float64,23,3.8947404070850406e-05
V249,float64,23,3.8947404070850406e-05
V281,float64,23,3.8947404070850406e-05
V191,float64,22,3.725403867646561e-05
V198,float64,22,3.725403867646561e-05
V148,float64,21,3.556067328208081e-05
V149,float64,21,3.556067328208081e-05
V242,float64,21,3.556067328208081e-05
V262,float64,21,3.556067328208081e-05
V303,float64,21,3.556067328208081e-05
V169,float64,20,3.386730788769601e-05
V80,float64,20,3.386730788769601e-05
V81,float64,20,3.386730788769601e-05
V153,float64,19,3.2173942493311204e-05
V154,float64,19,3.2173942493311204e-05
V247,float64,19,3.2173942493311204e-05
V250,float64,19,3.2173942493311204e-05
V251,float64,19,3.2173942493311204e-05
V327,float64,19,3.2173942493311204e-05
V40,float64,18,3.0480577098926406e-05
V55,float64,18,3.0480577098926406e-05
id_18,float64,18,3.0480577098926406e-05
V184,float64,17,2.8787211704541607e-05
V195,float64,17,2.8787211704541607e-05
V223,float64,17,2.8787211704541607e-05
V302,float64,17,2.8787211704541607e-05
V304,float64,17,2.8787211704541607e-05
V59,float64,17,2.8787211704541607e-05
V60,float64,17,2.8787211704541607e-05
V104,float64,16,2.7093846310156805e-05
V17,float64,16,2.7093846310156805e-05
V18,float64,16,2.7093846310156805e-05
V328,float64,16,2.7093846310156805e-05
V39,float64,16,2.7093846310156805e-05
V16,float64,15,2.5400480915772006e-05
V175,float64,15,2.5400480915772006e-05
V197,float64,15,2.5400480915772006e-05
V20,float64,15,2.5400480915772006e-05
V32,float64,15,2.5400480915772006e-05
id_04,float64,15,2.5400480915772006e-05
V123,float64,14,2.3707115521387204e-05
V124,float64,14,2.3707115521387204e-05
V125,float64,14,2.3707115521387204e-05
V23,float64,14,2.3707115521387204e-05
V24,float64,14,2.3707115521387204e-05
V301,float64,14,2.3707115521387204e-05
V26,float64,13,2.2013750127002405e-05
V284,float64,13,2.2013750127002405e-05
V289,float64,13,2.2013750127002405e-05
V297,float64,13,2.2013750127002405e-05
V325,float64,13,2.2013750127002405e-05
V34,float64,13,2.2013750127002405e-05
V98,float64,13,2.2013750127002405e-05
V300,float64,12,2.0320384732617603e-05
id_24,float64,12,2.0320384732617603e-05
V288,float64,11,1.8627019338232804e-05
V58,float64,11,1.8627019338232804e-05
V62,float64,11,1.8627019338232804e-05
V72,float64,11,1.8627019338232804e-05
V111,float64,10,1.6933653943848005e-05
V112,float64,10,1.6933653943848005e-05
V113,float64,10,1.6933653943848005e-05
V142,float64,10,1.6933653943848005e-05
V3,float64,10,1.6933653943848005e-05
V6,float64,10,1.6933653943848005e-05
V7,float64,10,1.6933653943848005e-05
V174,float64,9,1.5240288549463203e-05
V2,float64,9,1.5240288549463203e-05
V22,float64,9,1.5240288549463203e-05
V260,float64,9,1.5240288549463203e-05
V286,float64,9,1.5240288549463203e-05
V42,float64,9,1.5240288549463203e-05
V43,float64,9,1.5240288549463203e-05
V47,float64,9,1.5240288549463203e-05
V52,float64,9,1.5240288549463203e-05
V67,float64,9,1.5240288549463203e-05
V74,float64,9,1.5240288549463203e-05
V8,float64,9,1.5240288549463203e-05
V9,float64,9,1.5240288549463203e-05
V108,float64,8,1.3546923155078402e-05
V109,float64,8,1.3546923155078402e-05
V110,float64,8,1.3546923155078402e-05
V15,float64,8,1.3546923155078402e-05
V173,float64,8,1.3546923155078402e-05
V19,float64,8,1.3546923155078402e-05
V194,float64,8,1.3546923155078402e-05
V30,float64,8,1.3546923155078402e-05
V31,float64,8,1.3546923155078402e-05
V63,float64,8,1.3546923155078402e-05
V64,float64,8,1.3546923155078402e-05
V66,float64,8,1.3546923155078402e-05
V73,float64,8,1.3546923155078402e-05
V79,float64,8,1.3546923155078402e-05
V82,float64,8,1.3546923155078402e-05
V83,float64,8,1.3546923155078402e-05
V84,float64,8,1.3546923155078402e-05
V85,float64,8,1.3546923155078402e-05
V92,float64,8,1.3546923155078402e-05
V93,float64,8,1.3546923155078402e-05
V114,float64,7,1.1853557760693602e-05
V115,float64,7,1.1853557760693602e-05
V116,float64,7,1.1853557760693602e-05
V13,float64,7,1.1853557760693602e-05
V25,float64,7,1.1853557760693602e-05
V33,float64,7,1.1853557760693602e-05
V4,float64,7,1.1853557760693602e-05
V46,float64,7,1.1853557760693602e-05
V5,float64,7,1.1853557760693602e-05
V51,float64,7,1.1853557760693602e-05
V54,float64,7,1.1853557760693602e-05
V57,float64,7,1.1853557760693602e-05
V61,float64,7,1.1853557760693602e-05
V70,float64,7,1.1853557760693602e-05
V71,float64,7,1.1853557760693602e-05
V76,float64,7,1.1853557760693602e-05
V91,float64,7,1.1853557760693602e-05
V11,float64,6,1.0160192366308801e-05
V141,float64,6,1.0160192366308801e-05
V21,float64,6,1.0160192366308801e-05
V240,float64,6,1.0160192366308801e-05
V29,float64,6,1.0160192366308801e-05
V36,float64,6,1.0160192366308801e-05
V48,float64,6,1.0160192366308801e-05
V49,float64,6,1.0160192366308801e-05
V50,float64,6,1.0160192366308801e-05
V53,float64,6,1.0160192366308801e-05
V69,float64,6,1.0160192366308801e-05
V90,float64,6,1.0160192366308801e-05
ProductCD,str,5,8.466826971924002e-06
V10,float64,5,8.466826971924002e-06
V241,float64,5,8.466826971924002e-06
V75,float64,5,8.466826971924002e-06
V117,float64,4,6.773461577539201e-06
V118,float64,4,6.773461577539201e-06
V119,float64,4,6.773461577539201e-06
V12,float64,4,6.773461577539201e-06
V120,float64,4,6.773461577539201e-06
V121,float64,4,6.773461577539201e-06
V122,float64,4,6.773461577539201e-06
V27,float64,4,6.773461577539201e-06
V28,float64,4,6.773461577539201e-06
V35,float64,4,6.773461577539201e-06
card4,str,4,6.773461577539201e-06
card6,str,4,6.773461577539201e-06
id_32,float64,4,6.773461577539201e-06
id_34,str,4,6.773461577539201e-06
M4,str,3,5.080096183154401e-06
V68,float64,3,5.080096183154401e-06
V89,float64,3,5.080096183154401e-06
V94,float64,3,5.080096183154401e-06
id_15,str,3,5.080096183154401e-06
id_23,str,3,5.080096183154401e-06
DeviceType,str,2,3.3867307887696006e-06
M1,str,2,3.3867307887696006e-06
M2,str,2,3.3867307887696006e-06
M3,str,2,3.3867307887696006e-06
M5,str,2,3.3867307887696006e-06
M6,str,2,3.3867307887696006e-06
M7,str,2,3.3867307887696006e-06
M8,str,2,3.3867307887696006e-06
M9,str,2,3.3867307887696006e-06
V1,float64,2,3.3867307887696006e-06
V107,float64,2,3.3867307887696006e-06
V14,float64,2,3.3867307887696006e-06
V305,float64,2,3.3867307887696006e-06
V41,float64,2,3.3867307887696006e-06
V65,float64,2,3.3867307887696006e-06
V88,float64,2,3.3867307887696006e-06
id_12,str,2,3.3867307887696006e-06
id_16,str,2,3.3867307887696006e-06
id_27,str,2,3.3867307887696006e-06
id_28,str,2,3.3867307887696006e-06
id_29,str,2,3.3867307887696006e-06
id_35,str,2,3.3867307887696006e-06
id_36,str,2,3.3867307887696006e-06
id_37,str,2,3.3867307887696006e-06
id_38,str,2,3.3867307887696006e-06
